order_id,date,region,state,store_id,customer_id,customer_segment,product_category,product_subcategory,units_sold,unit_price,discount,shipping_cost,payment_method,sales_channel,order_status
ORD-103098,2023-01-08,North,Minnesota,NO-03,CUST-00289,Consumer,Home Goods,Bedding,2,298.65,0.0,0.0,Credit Card,In-Store,Completed
ORD-103107,2023-01-08,South,Texas,SO-03,CUST-00505,Consumer,Beauty & Health,Wellness,3,53.54,0.1,7.99,Credit Card,Online,Completed
ORD-105857,2023-01-08,West,California,WE-04,CUST-00638,Consumer,Home Goods,Bedding,4,151.75,0.0,4.99,Credit Card,Online,Completed
ORD-102528,2023-01-08,West,Washington,WE-03,CUST-01782,Consumer,Home Goods,Storage,4,232.35,0.2,0.0,Credit Card,In-Store,Completed
ORD-103313,2023-01-08,Central,Missouri,CE-04,CUST-00487,Corporate,Apparel,Women's Wear,3,51.12,0.15,7.99,Credit Card,Online,Completed
ORD-102818,2023-01-08,West,Oregon,WE-01,CUST-01114,Consumer,Beauty & Health,Skincare,2,24.07,0.0,0.0,Credit Card,In-Store,Completed
ORD-104756,2023-01-09,East,Massachusetts,EA-02,CUST-00885,Consumer,Beauty & Health,Personal Care,2,39.41,0.0,0.0,Credit Card,In-Store,Completed
ORD-102692,2023-01-09,West,Oregon,WE-04,CUST-00499,Corporate,Home Goods,Furniture,2,211.1,0.25,0.0,Credit Card,In-Store,Completed
ORD-101283,2023-01-09,East,New Jersey,EA-02,CUST-01287,Consumer,Books,Comics,5,9.54,0.2,0.0,Debit Card,Online,Returned
ORD-103271,2023-01-09,South,Georgia,SO-01,CUST-01412,Consumer,Home Goods,Bedding,7,394.15,0.0,0.0,Credit Card,In-Store,Completed
ORD-101886,2023-01-09,North,Minnesota,NO-02,CUST-00750,Home Office,Apparel,Kids' Wear,2,44.1,0.05,7.99,PayPal,Online,Completed
ORD-100205,2023-01-09,South,Georgia,SO-02,CUST-00172,Corporate,Apparel,Kids' Wear,4,77.89,0.15,12.99,Credit Card,Online,Completed
ORD-105474,2023-01-09,Central,Missouri,CE-04,CUST-01743,Consumer,Beauty & Health,Haircare,3,68.93,0.0,0.0,PayPal,In-Store,Completed
ORD-104687,2023-01-10,Central,Missouri,CE-03,CUST-00648,Consumer,Books,Educational,2,15.58,0.05,0.0,Credit Card,In-Store,Completed
ORD-101743,2023-01-10,West,California,WE-02,CUST-01532,Consumer,Books,Educational,4,16.31,0.15,0.0,Credit Card,In-Store,Completed
ORD-105301,2023-01-10,West,Oregon,WE-01,CUST-01428,Consumer,Books,Children's,1,17.33,0.15,0.0,Credit Card,In-Store,Completed
ORD-100945,2023-01-10,Central,Illinois,CE-01,CUST-01037,Consumer,Home Goods,Decor,3,149.27,0.05,0.0,Credit Card,In-Store,Returned
ORD-103710,2023-01-10,North,North Dakota,NO-05,CUST-01710,Corporate,Sporting Goods,Footwear,3,149.8,0.0,0.0,Credit Card,In-Store,Completed
ORD-103782,2023-01-10,Central,Missouri,CE-05,CUST-01076,Corporate,Home Goods,Bedding,6,402.92,0.05,0.0,Cash,In-Store,Completed
ORD-102349,2023-01-10,South,Florida,SO-02,CUST-00658,Corporate,Apparel,Accessories,6,53.52,0.05,12.99,Debit Card,Online,Cancelled
ORD-100407,2023-01-10,South,Florida,SO-01,CUST-00940,Consumer,Books,Educational,2,18.13,0.1,0.0,Credit Card,Online,Completed
ORD-102817,2023-01-11,South,Florida,SO-04,CUST-01709,Consumer,Electronics,Laptops,4,382.41,0.0,7.99,Credit Card,Online,Completed
ORD-100470,2023-01-11,West,Washington,WE-04,CUST-01218,Home Office,Electronics,Laptops,3,820.7,0.0,7.99,Credit Card,Online,Completed
ORD-101264,2023-01-11,North,Minnesota,NO-02,CUST-01169,Consumer,Sporting Goods,Team Sports,5,71.17,0.0,0.0,Credit Card,Online,Completed
ORD-102977,2023-01-11,Central,Ohio,CE-03,CUST-01626,Consumer,Apparel,Men's Wear,4,43.61,0.05,7.99,Cash,Online,Completed
ORD-103007,2023-01-11,East,New Jersey,EA-01,CUST-00156,Corporate,Electronics,Smart Home,6,712.82,0.05,0.0,Credit Card,In-Store,Completed
ORD-101799,2023-01-11,Central,Illinois,CE-02,CUST-00378,Consumer,Home Goods,Bedding,2,243.05,0.0,7.99,Debit Card,Online,Completed
ORD-101752,2023-01-11,East,New York,EA-03,CUST-00515,Consumer,Sporting Goods,Team Sports,3,157.07,0.0,0.0,Debit Card,Online,Completed
ORD-102360,2023-01-11,South,Florida,SO-01,CUST-01087,Consumer,Apparel,Footwear,3,64.62,0.05,0.0,Gift Card,In-Store,Completed
ORD-103964,2023-01-11,North,Minnesota,NO-05,CUST-00715,Consumer,Home Goods,Decor,4,287.44,0.0,0.0,PayPal,In-Store,Returned
ORD-105069,2023-01-11,Central,Ohio,CE-02,CUST-00580,Corporate,Apparel,Men's Wear,6,39.08,0.0,0.0,Credit Card,In-Store,Completed
ORD-100456,2023-01-11,Central,Illinois,CE-04,CUST-01076,Corporate,Books,Comics,2,26.9,0.0,4.99,Debit Card,Online,Completed
ORD-100840,2023-01-12,East,New Jersey,EA-04,CUST-00354,Corporate,Books,Children's,2,11.87,0.25,0.0,Credit Card,Online,Completed
ORD-100898,2023-01-12,Central,Ohio,CE-04,CUST-01663,Home Office,Home Goods,Decor,3,284.58,0.2,0.0,PayPal,In-Store,Completed
ORD-104155,2023-01-12,West,Washington,WE-05,CUST-01326,Corporate,Electronics,Smartphones,1,401.54,0.05,4.99,PayPal,Online,Completed
ORD-102224,2023-01-12,South,Georgia,SO-04,CUST-00258,Consumer,Apparel,Men's Wear,5,53.44,0.15,0.0,Credit Card,Online,Completed
ORD-102131,2023-01-12,South,Texas,SO-04,CUST-00050,Corporate,Books,Non-Fiction,2,17.1,0.25,7.99,Debit Card,Online,Completed
ORD-104546,2023-01-13,Central,Missouri,CE-01,CUST-01289,Consumer,Apparel,Kids' Wear,2,54.37,0.15,0.0,Credit Card,Online,Completed
ORD-103117,2023-01-13,North,Minnesota,NO-05,CUST-01559,Consumer,Electronics,Cameras,4,234.63,0.0,0.0,Credit Card,Online,Completed
ORD-105990,2023-01-13,South,Texas,SO-01,CUST-00503,Home Office,Electronics,Laptops,6,384.15,0.05,0.0,Credit Card,In-Store,Completed
ORD-105985,2023-01-13,East,New Jersey,EA-05,CUST-00008,Corporate,Sporting Goods,Fitness Equipment,4,171.34,0.1,0.0,Credit Card,In-Store,Completed
ORD-104812,2023-01-13,East,New Jersey,EA-04,CUST-01551,Corporate,Apparel,Men's Wear,9,24.52,0.0,0.0,PayPal,In-Store,Completed
ORD-105346,2023-01-13,East,Massachusetts,EA-01,CUST-00654,Home Office,Sporting Goods,Cycling,6,171.46,0.15,7.99,Cash,Online,Completed
ORD-104096,2023-01-13,West,Washington,WE-03,CUST-01619,Consumer,Apparel,Men's Wear,1,25.38,0.0,4.99,Credit Card,Online,Completed
ORD-100332,2023-01-14,South,Georgia,SO-05,CUST-01678,Corporate,Electronics,Headphones,4,550.27,0.0,0.0,Credit Card,In-Store,Completed
ORD-103087,2023-01-14,East,New York,EA-02,CUST-00408,Consumer,Apparel,Men's Wear,6,61.01,0.0,0.0,Cash,Online,Completed
ORD-103066,2023-01-14,Central,Ohio,CE-01,CUST-00581,Corporate,Home Goods,Kitchenware,3,262.77,0.0,0.0,Credit Card,In-Store,Completed
ORD-100244,2023-01-14,South,Florida,SO-04,CUST-01301,Corporate,Home Goods,Storage,4,199.53,0.25,0.0,Credit Card,In-Store,Completed
ORD-102533,2023-01-14,West,Oregon,WE-04,CUST-01251,Corporate,Beauty & Health,Skincare,2,58.59,0.25,4.99,Debit Card,Online,Cancelled
ORD-102682,2023-01-14,West,California,WE-01,CUST-00233,Consumer,Beauty & Health,Makeup,2,59.37,0.0,0.0,Credit Card,In-Store,Completed
ORD-103419,2023-01-14,South,Texas,SO-05,CUST-01341,Consumer,Sporting Goods,Footwear,3,183.96,0.0,0.0,Credit Card,Online,Completed
ORD-100563,2023-01-14,Central,Ohio,CE-01,CUST-01487,Consumer,Apparel,Kids' Wear,3,150.0,0.0,4.99,PayPal,Online,Completed
ORD-103945,2023-01-15,West,Washington,WE-04,CUST-01338,Consumer,Apparel,Footwear,3,55.73,0.05,0.0,PayPal,Online,Cancelled
ORD-104055,2023-01-15,North,Wisconsin,NO-02,CUST-01030,Consumer,Apparel,Kids' Wear,2,50.62,0.25,0.0,Credit Card,In-Store,Completed
ORD-104135,2023-01-15,Central,Ohio,CE-02,CUST-00415,Consumer,Books,Fiction,2,17.78,0.25,0.0,Debit Card,Online,Completed
ORD-105843,2023-01-15,East,New Jersey,EA-02,CUST-00603,Consumer,Home Goods,Bedding,3,156.51,0.1,7.99,PayPal,Online,Completed
ORD-100171,2023-01-15,Central,Illinois,CE-02,CUST-00431,Home Office,Apparel,Women's Wear,4,49.43,0.05,4.99,Credit Card,Online,Completed
ORD-105133,2023-01-15,North,North Dakota,NO-05,CUST-00523,Consumer,Home Goods,Kitchenware,3,128.06,0.0,0.0,PayPal,Online,Completed
ORD-105784,2023-01-16,North,North Dakota,NO-04,CUST-01151,Corporate,Apparel,Women's Wear,4,45.74,0.0,0.0,PayPal,In-Store,Completed
ORD-105638,2023-01-16,North,Wisconsin,NO-04,CUST-01386,Corporate,Books,Fiction,2,11.63,0.15,0.0,Debit Card,In-Store,Completed
ORD-101073,2023-01-16,East,New York,EA-02,CUST-01285,Consumer,Beauty & Health,Skincare,4,39.37,0.0,0.0,PayPal,Online,Returned
ORD-105981,2023-01-16,South,Texas,SO-05,CUST-01762,Consumer,Apparel,Kids' Wear,2,102.42,0.25,7.99,PayPal,Online,Completed
ORD-102708,2023-01-16,North,Wisconsin,NO-03,CUST-00426,Corporate,Apparel,Footwear,3,25.66,0.25,0.0,Debit Card,In-Store,Completed
ORD-102703,2023-01-16,North,Wisconsin,NO-02,CUST-00885,Home Office,Home Goods,Kitchenware,4,341.62,0.1,7.99,Credit Card,Online,Completed
ORD-100371,2023-01-17,South,Texas,SO-05,CUST-01364,Consumer,Beauty & Health,Makeup,4,18.73,0.05,4.99,Credit Card,Online,Completed
ORD-100794,2023-01-17,Central,Missouri,CE-05,CUST-00179,Consumer,Apparel,Women's Wear,4,34.5,0.0,0.0,Credit Card,In-Store,Completed
ORD-100936,2023-01-17,East,Massachusetts,EA-05,CUST-00392,Consumer,Home Goods,Storage,5,518.83,0.05,4.99,Credit Card,Online,Cancelled
ORD-102212,2023-01-17,Central,Missouri,CE-04,CUST-01778,Consumer,Electronics,Cameras,6,230.93,0.0,0.0,Debit Card,In-Store,Completed
ORD-103263,2023-01-17,West,Oregon,WE-01,CUST-00830,Consumer,Apparel,Accessories,7,43.57,0.05,0.0,Debit Card,In-Store,Completed
ORD-101513,2023-01-17,West,California,WE-02,CUST-01412,Consumer,Sporting Goods,Fitness Equipment,3,95.19,0.1,4.99,Debit Card,Online,Completed
ORD-100882,2023-01-18,South,Texas,SO-05,CUST-00318,Consumer,Apparel,Women's Wear,2,57.97,0.25,0.0,Debit Card,In-Store,Completed
ORD-103223,2023-01-18,Central,Missouri,CE-05,CUST-00314,Corporate,Electronics,Smart Home,2,501.02,0.0,0.0,Credit Card,In-Store,Completed
ORD-103689,2023-01-18,Central,Illinois,CE-02,CUST-00522,Consumer,Beauty & Health,Skincare,3,40.95,0.0,0.0,Credit Card,In-Store,Completed
ORD-101746,2023-01-18,West,California,WE-02,CUST-00113,Corporate,Electronics,Cameras,3,325.87,0.2,12.99,PayPal,Online,Returned
ORD-102516,2023-01-18,West,California,WE-05,CUST-00786,Consumer,Electronics,Headphones,3,328.34,0.0,4.99,Credit Card,Online,Completed
ORD-102685,2023-01-18,North,Wisconsin,NO-04,CUST-00744,Corporate,Electronics,Smartphones,3,266.51,0.05,0.0,Debit Card,In-Store,Completed
ORD-103470,2023-01-18,North,Wisconsin,NO-04,CUST-00973,Corporate,Books,Educational,2,33.43,0.05,4.99,PayPal,Online,Returned
ORD-105942,2023-01-18,West,Washington,WE-05,CUST-00206,Consumer,Apparel,Kids' Wear,8,42.13,0.1,4.99,Debit Card,Online,Completed
ORD-101813,2023-01-19,West,Oregon,WE-02,CUST-00101,Consumer,Apparel,Accessories,7,47.38,0.0,4.99,Credit Card,Online,Returned
ORD-104234,2023-01-19,West,Oregon,WE-04,CUST-01020,Home Office,Sporting Goods,Fitness Equipment,6,151.61,0.0,0.0,Debit Card,Online,Completed
ORD-100640,2023-01-19,East,Massachusetts,EA-03,CUST-01070,Corporate,Apparel,Men's Wear,3,101.58,0.0,0.0,Gift Card,Online,Completed
ORD-100010,2023-01-19,East,Massachusetts,EA-03,CUST-01039,Consumer,Apparel,Women's Wear,5,40.27,0.0,7.99,Credit Card,Online,Completed
ORD-105858,2023-01-19,South,Texas,SO-03,CUST-00271,Corporate,Sporting Goods,Footwear,4,138.06,0.0,0.0,Credit Card,In-Store,Completed
ORD-104551,2023-01-19,South,Texas,SO-05,CUST-01190,Home Office,Sporting Goods,Outdoor Gear,1,85.67,0.05,0.0,Debit Card,In-Store,Completed
ORD-102018,2023-01-20,North,North Dakota,NO-05,CUST-00587,Consumer,Apparel,Footwear,4,28.46,0.0,0.0,Credit Card,Online,Returned
ORD-103161,2023-01-20,East,Massachusetts,EA-01,CUST-00256,Corporate,Beauty & Health,Personal Care,4,56.61,0.15,0.0,Credit Card,In-Store,Completed
ORD-105172,2023-01-20,South,Texas,SO-03,CUST-00536,Consumer,Beauty & Health,Skincare,2,30.61,0.1,0.0,Credit Card,In-Store,Completed
ORD-101049,2023-01-20,North,North Dakota,NO-02,CUST-00403,Corporate,Beauty & Health,Personal Care,3,45.0,0.2,0.0,PayPal,Online,Completed
ORD-105293,2023-01-20,North,Wisconsin,NO-05,CUST-00913,Home Office,Electronics,Laptops,5,185.36,0.0,0.0,Credit Card,In-Store,Completed
ORD-100377,2023-01-21,East,New York,EA-03,CUST-00156,Consumer,Apparel,Accessories,5,87.69,0.2,0.0,Debit Card,In-Store,Completed
ORD-103412,2023-01-21,East,New York,EA-04,CUST-00333,Consumer,Electronics,Cameras,4,510.74,0.0,0.0,PayPal,In-Store,Completed
ORD-104326,2023-01-21,South,Georgia,SO-04,CUST-00360,Corporate,Apparel,Footwear,1,44.0,0.15,4.99,Debit Card,Online,Returned
ORD-101202,2023-01-21,East,New York,EA-05,CUST-00495,Consumer,Apparel,Men's Wear,6,112.64,0.0,4.99,Debit Card,Online,Completed
ORD-104519,2023-01-21,North,North Dakota,NO-04,CUST-00039,Consumer,Apparel,Women's Wear,6,50.98,0.0,7.99,Credit Card,Online,Completed
ORD-100925,2023-01-21,West,California,WE-01,CUST-00117,Consumer,Home Goods,Furniture,5,127.71,0.05,4.99,Credit Card,Online,Completed
ORD-101047,2023-01-22,Central,Illinois,CE-01,CUST-00692,Home Office,Apparel,Footwear,1,92.12,0.15,7.99,Debit Card,Online,Completed
ORD-104507,2023-01-22,Central,Missouri,CE-04,CUST-00990,Consumer,Home Goods,Furniture,1,679.44,0.0,0.0,Debit Card,In-Store,Completed
ORD-101576,2023-01-22,Central,Missouri,CE-01,CUST-00608,Corporate,Sporting Goods,Fitness Equipment,3,457.32,0.0,0.0,Credit Card,In-Store,Completed
ORD-103950,2023-01-22,North,Minnesota,NO-01,CUST-00988,Consumer,Sporting Goods,Footwear,3,110.71,0.0,0.0,Debit Card,Online,Completed
ORD-101201,2023-01-22,North,Minnesota,NO-01,CUST-01706,Consumer,Electronics,Cameras,3,487.35,0.15,7.99,Debit Card,Online,Completed
ORD-100237,2023-01-22,West,California,WE-01,CUST-00209,Consumer,Apparel,Women's Wear,1,44.26,0.05,0.0,Credit Card,In-Store,Completed
ORD-104417,2023-01-22,Central,Missouri,CE-04,CUST-00751,Corporate,Apparel,Women's Wear,2,73.0,0.05,0.0,Credit Card,Online,Completed
ORD-102421,2023-01-22,North,Minnesota,NO-03,CUST-00764,Consumer,Books,Comics,1,16.71,0.2,4.99,PayPal,Online,Completed
ORD-101970,2023-01-22,South,Texas,SO-02,CUST-01288,Consumer,Home Goods,Furniture,6,299.36,0.0,0.0,PayPal,Online,Completed
ORD-102719,2023-01-22,Central,Ohio,CE-02,CUST-01517,Consumer,Electronics,Smartphones,5,387.27,0.2,7.99,Credit Card,Online,Completed
ORD-102975,2023-01-23,Central,Ohio,CE-01,CUST-01478,Corporate,Books,Comics,3,21.77,0.0,0.0,Debit Card,Online,Completed
ORD-100312,2023-01-23,South,Texas,SO-05,CUST-01643,Corporate,Home Goods,Storage,3,357.18,0.0,0.0,Credit Card,In-Store,Returned
ORD-102397,2023-01-23,Central,Illinois,CE-05,CUST-00587,Consumer,Home Goods,Bedding,4,350.44,0.0,0.0,Cash,Online,Completed
ORD-101502,2023-01-23,Central,Missouri,CE-03,CUST-00228,Corporate,Electronics,Smartphones,3,201.59,0.0,0.0,PayPal,In-Store,Completed
ORD-100098,2023-01-23,West,Oregon,WE-01,CUST-01697,Consumer,Apparel,Accessories,1,63.41,0.2,0.0,PayPal,In-Store,Completed
ORD-104888,2023-01-23,East,Massachusetts,EA-05,CUST-00480,Home Office,Electronics,Smartphones,7,156.66,0.15,12.99,Debit Card,Online,Completed
ORD-105565,2023-01-23,West,Washington,WE-02,CUST-00918,Consumer,Apparel,Accessories,2,65.56,0.05,0.0,Debit Card,In-Store,Completed
ORD-100874,2023-01-23,West,California,WE-04,CUST-01300,Home Office,Apparel,Accessories,2,42.4,0.1,0.0,Credit Card,Online,Cancelled
ORD-103668,2023-01-23,West,Washington,WE-01,CUST-00154,Home Office,Apparel,Men's Wear,2,33.67,0.1,4.99,PayPal,Online,Completed
ORD-104486,2023-01-23,South,Georgia,SO-05,CUST-00925,Home Office,Electronics,Smart Home,2,686.06,0.0,4.99,Gift Card,Online,Completed
ORD-101969,2023-01-24,East,New York,EA-04,CUST-01404,Consumer,Home Goods,Storage,3,556.09,0.0,0.0,PayPal,In-Store,Completed
ORD-100515,2023-01-24,South,Georgia,SO-04,CUST-01748,Consumer,Sporting Goods,Outdoor Gear,2,60.91,0.15,12.99,Credit Card,Online,Returned
ORD-105646,2023-01-24,North,Minnesota,NO-02,CUST-00924,Corporate,Apparel,Women's Wear,1,150.0,0.0,4.99,Credit Card,Online,Completed
ORD-101696,2023-01-24,North,Minnesota,NO-02,CUST-00954,Consumer,Electronics,Headphones,4,337.25,0.05,0.0,Credit Card,In-Store,Completed
ORD-103925,2023-01-24,South,Texas,SO-03,CUST-01261,Corporate,Beauty & Health,Personal Care,5,17.32,0.0,0.0,PayPal,In-Store,Completed
ORD-104196,2023-01-24,West,Oregon,WE-01,CUST-01068,Consumer,Books,Educational,3,7.87,0.0,0.0,Credit Card,Online,Completed
ORD-100901,2023-01-24,East,New York,EA-04,CUST-01518,Consumer,Electronics,Laptops,3,263.7,0.0,4.99,Cash,Online,Completed
ORD-100356,2023-01-24,West,Oregon,WE-03,CUST-00519,Consumer,Apparel,Accessories,2,50.31,0.05,4.99,Credit Card,Online,Completed
ORD-102080,2023-01-25,North,North Dakota,NO-03,CUST-00173,Consumer,Home Goods,Furniture,2,258.47,0.0,0.0,Cash,In-Store,Completed
ORD-105299,2023-01-25,Central,Missouri,CE-04,CUST-00878,Home Office,Home Goods,Kitchenware,4,234.99,0.0,0.0,Gift Card,In-Store,Completed
ORD-100878,2023-01-25,East,New York,EA-03,CUST-00498,Home Office,Apparel,Women's Wear,5,53.91,0.0,0.0,PayPal,In-Store,Completed
ORD-102413,2023-01-25,South,Florida,SO-01,CUST-01111,Consumer,Electronics,Smartphones,3,894.71,0.0,0.0,Credit Card,Online,Completed
ORD-104099,2023-01-26,West,California,WE-03,CUST-01449,Home Office,Apparel,Kids' Wear,3,84.55,0.15,12.99,Credit Card,Online,Completed
ORD-105774,2023-01-26,South,Georgia,SO-01,CUST-00847,Consumer,Apparel,Kids' Wear,4,59.58,0.15,0.0,PayPal,Online,Completed
ORD-103962,2023-01-26,West,Oregon,WE-03,CUST-01164,Home Office,Apparel,Women's Wear,5,37.68,0.05,0.0,PayPal,In-Store,Completed
ORD-100557,2023-01-27,West,Oregon,WE-02,CUST-00921,Corporate,Beauty & Health,Makeup,2,69.96,0.0,7.99,Debit Card,Online,Completed
ORD-102829,2023-01-27,East,New York,EA-01,CUST-00180,Consumer,Apparel,Kids' Wear,3,27.3,0.25,0.0,Gift Card,In-Store,Completed
ORD-101159,2023-01-27,North,Minnesota,NO-03,CUST-01644,Corporate,Electronics,Headphones,2,377.47,0.0,0.0,Cash,In-Store,Completed
ORD-103654,2023-01-28,West,California,WE-03,CUST-00430,Consumer,Electronics,Cameras,2,1066.12,0.0,7.99,Credit Card,Online,Completed
ORD-101454,2023-01-28,East,New Jersey,EA-01,CUST-01041,Consumer,Apparel,Footwear,6,30.98,0.0,4.99,Credit Card,Online,Completed
ORD-102418,2023-01-28,North,Wisconsin,NO-03,CUST-00596,Consumer,Books,Children's,9,32.19,0.1,0.0,PayPal,In-Store,Completed
ORD-105438,2023-01-28,East,Massachusetts,EA-01,CUST-00237,Consumer,Apparel,Footwear,2,60.96,0.1,7.99,Credit Card,Online,Completed
ORD-101435,2023-01-28,West,Oregon,WE-05,CUST-01572,Consumer,Beauty & Health,Makeup,3,32.02,0.0,0.0,Debit Card,In-Store,Completed
ORD-103695,2023-01-28,Central,Missouri,CE-01,CUST-00989,Consumer,Electronics,Cameras,3,356.66,0.0,0.0,PayPal,Online,Returned
ORD-100290,2023-01-28,Central,Illinois,CE-02,CUST-00834,Consumer,Electronics,Smart Home,6,325.63,0.0,0.0,PayPal,Online,Completed
ORD-101339,2023-01-28,West,Washington,WE-02,CUST-01129,Consumer,Books,Educational,2,18.08,0.0,4.99,Debit Card,Online,Completed
